epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,559.284,1.20744,2.58817,1.50098,0.32534,0.51027,0.38554,0.26118,1.23502,1.60655,1.45443,0.00331492,0.00331492,0.0701657
2,1083.93,0.98422,1.4936,1.2761,0.71572,0.67926,0.73277,0.57396,0.6575,0.91817,1.04627,0.00658243,0.00658243,0.0400999
3,1609.59,0.98876,1.3007,1.27217,0.61988,0.64569,0.68303,0.54131,0.66533,1.00243,1.07339,0.00978395,0.00978395,0.00996811
4,2129.92,1.01313,1.25723,1.29066,0.36149,0.54151,0.37783,0.28735,0.86082,1.61829,1.24577,0.009703,0.009703,0.009703
5,2633.31,1.00058,1.17788,1.2778,0.71975,0.60647,0.64163,0.496,0.58497,0.92137,1.04845,0.009604,0.009604,0.009604
6,3130.73,0.95042,1.09103,1.24225,0.70663,0.68587,0.73017,0.57941,0.56649,0.94196,1.02505,0.009505,0.009505,0.009505
7,3633.92,0.93704,1.04695,1.24024,0.84307,0.74867,0.83681,0.67011,0.50522,0.63136,0.99171,0.009406,0.009406,0.009406
8,4135.26,0.91,0.98801,1.21676,0.78325,0.81812,0.84235,0.657,0.62148,0.62834,1.06134,0.009307,0.009307,0.009307
9,4635.75,0.8829,0.93616,1.19182,0.73634,0.67752,0.80769,0.65451,0.50016,0.77923,0.98043,0.009208,0.009208,0.009208
10,5133.52,0.8578,0.891,1.17772,0.58494,0.70228,0.67769,0.55416,0.59141,0.95562,1.00986,0.009109,0.009109,0.009109
11,5628.74,0.84998,0.88881,1.17959,0.699,0.74174,0.81668,0.6446,0.6618,0.78559,1.06883,0.00901,0.00901,0.00901
12,6127.94,0.83921,0.85166,1.16843,0.68255,0.83031,0.77331,0.60555,0.66452,0.60553,1.04536,0.008911,0.008911,0.008911
13,6626.17,0.80503,0.82257,1.14558,0.78999,0.70404,0.76626,0.60837,0.6197,0.60574,1.03161,0.008812,0.008812,0.008812
14,7126.37,0.79218,0.81159,1.14297,0.70552,0.85933,0.84032,0.67873,0.53326,0.52961,0.99053,0.008713,0.008713,0.008713
15,7624.41,0.79187,0.79133,1.14508,0.67537,0.77053,0.77383,0.63334,0.55753,0.54639,0.99744,0.008614,0.008614,0.008614
16,8124.21,0.78827,0.77752,1.14017,0.72201,0.86033,0.84465,0.69665,0.43647,0.51456,0.93656,0.008515,0.008515,0.008515
17,8623.84,0.77256,0.76439,1.13067,0.72882,0.85806,0.87852,0.73614,0.49537,0.53086,0.9592,0.008416,0.008416,0.008416
18,9121.59,0.76892,0.74866,1.12635,0.71144,0.83511,0.83095,0.64936,0.70139,0.54924,1.06297,0.008317,0.008317,0.008317
19,9623.62,0.76275,0.74476,1.12788,0.87546,0.84453,0.9042,0.70092,0.65458,0.54455,1.03822,0.008218,0.008218,0.008218
20,10124.6,0.74665,0.7192,1.10701,0.86306,0.74211,0.82675,0.68198,0.49366,0.5986,0.95535,0.008119,0.008119,0.008119
21,10622.9,0.74661,0.72132,1.12138,0.71808,0.74051,0.77983,0.65581,0.48327,0.51873,0.95541,0.00802,0.00802,0.00802
22,11121.3,0.74098,0.7054,1.11366,0.76089,0.83245,0.8196,0.69884,0.42392,0.47486,0.92323,0.007921,0.007921,0.007921
23,11620.9,0.73721,0.7024,1.11235,0.87411,0.78539,0.84957,0.67075,0.62067,0.51484,1.02451,0.007822,0.007822,0.007822
24,12118.3,0.72198,0.68479,1.0977,0.81573,0.75704,0.82717,0.71355,0.44674,0.49564,0.93421,0.007723,0.007723,0.007723
