epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,530.222,1.22679,2.03891,1.5165,0.60211,0.74138,0.68736,0.54039,0.64714,0.82438,1.03079,0.00331492,0.00331492,0.0701657
2,1030.42,0.88752,0.94097,1.21646,0.64256,0.85018,0.81806,0.60231,0.89034,0.84062,1.18958,0.00658243,0.00658243,0.0400999
3,1542.97,0.93064,0.97053,1.24101,0.66601,0.67667,0.65971,0.48585,0.78632,0.88024,1.18512,0.00978395,0.00978395,0.00996811
4,2099.96,0.98046,1.04037,1.26937,0.6488,0.70712,0.61945,0.45539,0.77369,0.87899,1.20881,0.009703,0.009703,0.009703
5,2626.13,0.95731,0.98701,1.25644,0.80214,0.772,0.84719,0.62055,0.62594,0.67116,1.05865,0.009604,0.009604,0.009604
6,3145.19,0.9307,0.93947,1.23836,0.78438,0.77831,0.7742,0.61779,0.51715,0.60212,0.98566,0.009505,0.009505,0.009505
7,3679.71,0.89228,0.90053,1.21872,0.65356,0.63808,0.73869,0.57492,0.61029,0.88693,1.04475,0.009406,0.009406,0.009406
8,4215.81,0.89029,0.87962,1.21029,0.87263,0.75304,0.8313,0.70251,0.50971,0.58055,0.98778,0.009307,0.009307,0.009307
9,4749.18,0.86253,0.84748,1.18815,0.80233,0.61997,0.74359,0.57214,0.59705,0.61687,1.03144,0.009208,0.009208,0.009208
10,5255.82,0.83989,0.81081,1.17375,0.76865,0.80779,0.82679,0.69276,0.49878,0.51899,0.9744,0.009109,0.009109,0.009109
11,5756.87,0.8331,0.79357,1.16998,0.80005,0.84781,0.84745,0.66406,0.56249,0.5625,1.01714,0.00901,0.00901,0.00901
12,6258.85,0.81854,0.79601,1.16428,0.76847,0.78449,0.82753,0.6888,0.47779,0.53341,0.96209,0.008911,0.008911,0.008911
13,6759.23,0.78905,0.76422,1.1479,0.80773,0.87253,0.88679,0.71761,0.46498,0.50531,0.96455,0.008812,0.008812,0.008812
14,7262.37,0.78599,0.75184,1.14796,0.83034,0.75981,0.82289,0.68544,0.44879,0.54232,0.93685,0.008713,0.008713,0.008713
15,7765.19,0.77212,0.73842,1.14329,0.84246,0.6919,0.71112,0.59342,0.58237,0.53219,1.01399,0.008614,0.008614,0.008614
16,8267.15,0.76206,0.72231,1.12807,0.60745,0.65759,0.7123,0.61008,0.43814,0.99115,0.93651,0.008515,0.008515,0.008515
17,8770.94,0.75354,0.71231,1.12388,0.85431,0.86634,0.85328,0.72297,0.4138,0.46354,0.92306,0.008416,0.008416,0.008416
18,9271.12,0.75522,0.70394,1.12562,0.78279,0.80512,0.79043,0.67352,0.48613,0.51938,0.95517,0.008317,0.008317,0.008317
19,9772.85,0.73808,0.69375,1.11643,0.87876,0.83421,0.85959,0.69167,0.47117,0.48646,0.95106,0.008218,0.008218,0.008218
20,10277.5,0.73127,0.69315,1.1093,0.8597,0.77952,0.84014,0.72558,0.42723,0.48357,0.92746,0.008119,0.008119,0.008119
21,10780.3,0.71806,0.66395,1.10576,0.83258,0.72948,0.75347,0.64103,0.44499,0.55591,0.93518,0.00802,0.00802,0.00802
22,11282.3,0.71122,0.66065,1.09983,0.86723,0.85213,0.87539,0.74023,0.42115,0.43854,0.92624,0.007921,0.007921,0.007921
23,11785.5,0.70363,0.64241,1.09804,0.81586,0.87762,0.88332,0.73134,0.42383,0.46615,0.9304,0.007822,0.007822,0.007822
24,12285.6,0.69893,0.64756,1.0902,0.918,0.7659,0.8816,0.74279,0.4758,0.44843,0.9423,0.007723,0.007723,0.007723
25,12788.9,0.69291,0.62586,1.08513,0.85704,0.8493,0.88925,0.7545,0.44393,0.44839,0.9304,0.007624,0.007624,0.007624
26,13292.5,0.6781,0.62112,1.07842,0.84366,0.71224,0.79709,0.67621,0.41684,0.46349,0.91557,0.007525,0.007525,0.007525
27,13794.3,0.67874,0.61467,1.08741,0.82469,0.79011,0.85467,0.74061,0.39483,0.46096,0.90574,0.007426,0.007426,0.007426
28,14296,0.6668,0.6001,1.07776,0.83146,0.84907,0.84941,0.71231,0.41983,0.46274,0.91088,0.007327,0.007327,0.007327
29,14799.1,0.68365,0.6109,1.08603,0.89324,0.8137,0.83998,0.69675,0.41248,0.45297,0.91372,0.007228,0.007228,0.007228
30,15296.9,0.65992,0.61105,1.07296,0.91262,0.7357,0.82592,0.68365,0.4225,0.43487,0.91558,0.007129,0.007129,0.007129
31,15798.2,0.65643,0.60423,1.07069,0.76762,0.72886,0.71735,0.62605,0.42885,0.53155,0.91506,0.00703,0.00703,0.00703
32,16290.6,0.65365,0.58483,1.06535,0.87964,0.77627,0.81112,0.69993,0.37631,0.44915,0.90302,0.006931,0.006931,0.006931
33,16786.8,0.64377,0.57788,1.06371,0.90928,0.81881,0.82772,0.72492,0.39194,0.46168,0.90162,0.006832,0.006832,0.006832
34,17293.7,0.63688,0.5697,1.0598,0.91377,0.79535,0.85326,0.71028,0.42091,0.43642,0.91391,0.006733,0.006733,0.006733
35,17812.6,0.64688,0.59161,1.06527,0.91565,0.85137,0.8931,0.76793,0.40866,0.41762,0.91324,0.006634,0.006634,0.006634
36,18348.4,0.64337,0.56917,1.06667,0.81773,0.83993,0.86967,0.73466,0.39351,0.4439,0.9038,0.006535,0.006535,0.006535
37,18878.5,0.63848,0.56348,1.06209,0.86852,0.82415,0.87613,0.7579,0.37484,0.41839,0.89174,0.006436,0.006436,0.006436
38,19399.5,0.63206,0.55939,1.05689,0.84253,0.83649,0.84913,0.72227,0.38553,0.4389,0.90184,0.006337,0.006337,0.006337
39,19934.7,0.62842,0.5656,1.05679,0.81271,0.90764,0.89045,0.74614,0.40157,0.44529,0.90613,0.006238,0.006238,0.006238
40,20451.4,0.62042,0.55841,1.053,0.86163,0.86409,0.8982,0.77423,0.36936,0.4259,0.89325,0.006139,0.006139,0.006139
41,20968.9,0.61892,0.53621,1.05317,0.87703,0.86454,0.88198,0.75721,0.40307,0.40897,0.89888,0.00604,0.00604,0.00604
42,21481.8,0.60783,0.53181,1.04073,0.90672,0.89136,0.90356,0.78677,0.37385,0.39795,0.89464,0.005941,0.005941,0.005941
43,21989.6,0.60725,0.53961,1.03995,0.83951,0.88386,0.87452,0.74293,0.41528,0.3906,0.90879,0.005842,0.005842,0.005842
44,22510.7,0.61247,0.53745,1.04925,0.87539,0.77907,0.84966,0.70533,0.40649,0.40191,0.90652,0.005743,0.005743,0.005743
45,23021.6,0.60008,0.52428,1.04126,0.91187,0.91064,0.90708,0.77055,0.3885,0.39009,0.90192,0.005644,0.005644,0.005644
46,23528.8,0.59673,0.53194,1.04068,0.89125,0.89646,0.91844,0.79114,0.41778,0.40437,0.9102,0.005545,0.005545,0.005545
47,24035.6,0.60074,0.51116,1.04003,0.89377,0.83439,0.8268,0.71025,0.36199,0.40327,0.8828,0.005446,0.005446,0.005446
48,24552.2,0.59853,0.52035,1.03966,0.91454,0.88111,0.91615,0.79408,0.41229,0.39381,0.90495,0.005347,0.005347,0.005347
49,25077.3,0.59136,0.5119,1.04294,0.94136,0.84357,0.8945,0.76937,0.37933,0.38434,0.89417,0.005248,0.005248,0.005248
50,25596,0.57718,0.50219,1.02889,0.86353,0.85676,0.89675,0.77956,0.39627,0.39721,0.89626,0.005149,0.005149,0.005149
51,26107,0.56784,0.48464,1.02219,0.88408,0.79385,0.84212,0.74018,0.38264,0.4121,0.89742,0.00505,0.00505,0.00505
52,26618,0.5784,0.49835,1.02477,0.84321,0.84973,0.87021,0.7538,0.36864,0.40673,0.88347,0.004951,0.004951,0.004951
53,27131.7,0.58298,0.49964,1.03328,0.91228,0.88054,0.88981,0.77739,0.34924,0.4028,0.87424,0.004852,0.004852,0.004852
54,27644.7,0.5743,0.48825,1.02611,0.85793,0.88074,0.88307,0.74466,0.37455,0.40134,0.88821,0.004753,0.004753,0.004753
55,28155.6,0.56175,0.47137,1.01872,0.89834,0.87837,0.90325,0.77436,0.39053,0.42578,0.89608,0.004654,0.004654,0.004654
56,28672,0.56301,0.48042,1.02141,0.8996,0.83228,0.85877,0.75637,0.35465,0.40081,0.88066,0.004555,0.004555,0.004555
57,29186.2,0.56116,0.48815,1.0257,0.8689,0.81172,0.8535,0.74139,0.371,0.38839,0.89032,0.004456,0.004456,0.004456
58,29704.2,0.56547,0.49189,1.02746,0.92551,0.87358,0.90005,0.78655,0.36241,0.37506,0.88376,0.004357,0.004357,0.004357
59,30217.8,0.55135,0.46397,1.01799,0.91079,0.89126,0.91721,0.79575,0.36214,0.3708,0.88561,0.004258,0.004258,0.004258
60,30733.7,0.56441,0.47398,1.01932,0.88138,0.76172,0.83722,0.71371,0.41991,0.43217,0.90979,0.004159,0.004159,0.004159
61,31245.6,0.54636,0.45958,1.01935,0.79342,0.84928,0.83815,0.75503,0.3667,0.41204,0.88684,0.00406,0.00406,0.00406
62,31759.3,0.54569,0.45843,1.01357,0.89676,0.84112,0.90794,0.79097,0.36125,0.37616,0.88605,0.003961,0.003961,0.003961
63,32270.3,0.54984,0.45361,1.01992,0.91569,0.87619,0.9019,0.7765,0.35246,0.38926,0.8805,0.003862,0.003862,0.003862
64,32784.6,0.54319,0.44796,1.01351,0.93873,0.83498,0.91157,0.77829,0.37684,0.39381,0.89281,0.003763,0.003763,0.003763
65,33298.3,0.5414,0.45255,1.01427,0.91171,0.83399,0.91047,0.7918,0.3574,0.42657,0.88424,0.003664,0.003664,0.003664
66,33815.1,0.53899,0.45076,1.00939,0.88137,0.81742,0.87856,0.76723,0.35451,0.38106,0.88209,0.003565,0.003565,0.003565
67,34328,0.53967,0.43426,1.01491,0.92453,0.89305,0.92902,0.79097,0.3554,0.3895,0.88023,0.003466,0.003466,0.003466
68,34843.5,0.53896,0.44063,1.01013,0.88993,0.82019,0.83172,0.70936,0.36074,0.39579,0.8876,0.003367,0.003367,0.003367
69,35357.9,0.5291,0.43889,1.00726,0.86759,0.88214,0.88706,0.77773,0.33643,0.36768,0.87403,0.003268,0.003268,0.003268
70,35871.8,0.52247,0.43476,1.00727,0.82103,0.79646,0.84987,0.73641,0.35444,0.40506,0.87921,0.003169,0.003169,0.003169
71,36386.6,0.53033,0.43249,1.01168,0.89656,0.85747,0.8932,0.78058,0.35394,0.39398,0.88061,0.00307,0.00307,0.00307
72,36905,0.52285,0.43703,1.008,0.8414,0.843,0.84016,0.73568,0.36905,0.38472,0.89176,0.002971,0.002971,0.002971
73,37417.6,0.51134,0.42424,0.9961,0.86974,0.79423,0.87252,0.74802,0.33988,0.39698,0.87507,0.002872,0.002872,0.002872
74,37934,0.51522,0.41622,1.00144,0.87659,0.76358,0.86175,0.74761,0.35893,0.39762,0.88107,0.002773,0.002773,0.002773
