epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,565.725,1.16959,2.52866,1.46496,0.48554,0.57544,0.60435,0.34627,1.30405,1.54772,1.47436,0.00331492,0.00331492,0.0701657
2,1097.76,0.98369,1.3904,1.26507,0.63295,0.72986,0.72618,0.52659,0.99882,0.91741,1.31275,0.00658243,0.00658243,0.0400999
3,1610.64,1.01022,1.27475,1.279,0.64947,0.49384,0.4598,0.34566,0.91264,1.01905,1.27374,0.00978395,0.00978395,0.00996811
4,2185.01,1.01638,1.21919,1.28259,0.74614,0.76905,0.75146,0.54578,0.92166,0.85176,1.25413,0.009703,0.009703,0.009703
5,2748.29,0.9825,1.11942,1.26546,0.3549,0.41282,0.38217,0.29875,0.86382,1.3349,1.24144,0.009604,0.009604,0.009604
6,3306.08,0.94743,1.04793,1.23771,0.70915,0.82102,0.80334,0.62663,0.58278,0.72392,1.02919,0.009505,0.009505,0.009505
7,3876.23,0.93111,1.00325,1.23135,0.78815,0.73598,0.77206,0.6253,0.53877,0.74745,1.01877,0.009406,0.009406,0.009406
8,4417.27,0.9161,0.97722,1.21336,0.77183,0.78275,0.76854,0.61593,0.63067,0.72603,1.06128,0.009307,0.009307,0.009307
9,4958.68,0.88022,0.90686,1.18949,0.78638,0.81131,0.81601,0.61947,0.56706,0.67984,1.03104,0.009208,0.009208,0.009208
10,5474.07,0.8653,0.87995,1.17877,0.59911,0.74529,0.70933,0.50614,0.8494,0.6757,1.17029,0.009109,0.009109,0.009109
11,5989.35,0.85645,0.8559,1.17697,0.61717,0.74959,0.796,0.62572,0.61503,0.7563,1.03755,0.00901,0.00901,0.00901
12,6506.58,0.84098,0.84181,1.16805,0.91533,0.77641,0.83897,0.65501,0.51363,0.54398,0.98769,0.008911,0.008911,0.008911
13,7020.13,0.81916,0.81353,1.15324,0.80352,0.64729,0.72741,0.59224,0.50137,0.64189,0.97946,0.008812,0.008812,0.008812
14,7533.54,0.81549,0.79852,1.15629,0.76813,0.81297,0.81172,0.66133,0.5232,0.54114,0.97764,0.008713,0.008713,0.008713
15,8049.87,0.79805,0.78157,1.14731,0.78702,0.82187,0.80818,0.64735,0.59725,0.54024,1.02274,0.008614,0.008614,0.008614
16,8561.87,0.78249,0.74631,1.13147,0.86598,0.9095,0.90284,0.73911,0.47598,0.55332,0.96246,0.008515,0.008515,0.008515
17,9075.57,0.78196,0.74196,1.1267,0.76706,0.77788,0.7778,0.61779,0.54741,0.58406,0.98792,0.008416,0.008416,0.008416
18,9587.59,0.77817,0.7328,1.12649,0.82667,0.83137,0.80208,0.67685,0.42494,0.50907,0.9349,0.008317,0.008317,0.008317
